Category,Column,Comment,Correct,Highlights,IS,CVP,SV,HR,CO,Ra,MAP
Neural variables,0,"Right!  IS and HR are both controlled by the nervous system (they’re neural variables).  By definition, the DR interval occurs BEFORE any changes in neural firing occurs.  So, there are no changes to these two variables.",Yes,"0,3",0,,,0,,,
Neural variables,0,"No, IS and HR are physiologically determined by neural inputs.  Since DR is the interval before there are any changing in the neural signals, there can be no change in IS",No,"0,3",3,,,,,,
Neural variables,0,"No, IS and HR are physiologically determined by neural inputs.  Since DR is the interval before there are any changing in the neural signals, there can be no change in HR.",No,"0,3",,,,3,,,
MAP=COxRa,0,Correct.  With Ra reduced to 50% of its normal value MAP must also fall.,Yes,"5,6",,,,,,1,1
MAP=COxRa,0,"No, with Ra reduced to 50% of its normal value MAP also fall.  The relationship involved here is MAP = CO x TPR. Ra is the largest component of TPR and thus with TPR down and CO unchanged MAP must fall.",No,"5,6",,,,,,,4
SV=1/MAP (inverse; afterload),0,Right.  MAP is the pressure against which the left ventricle must eject blood.  MAP is the afterload on the heart.  The fall in MAP that occurs reduces the afterload and results in an (admittedly small) increase in SV.,Yes,"2,6",,,2,,,,1
SV=1/MAP (inverse; afterload),0,"No, MAP is the pressure against which the left ventricle must eject blood.  MAP is the afterload on the heart.  The fall in MAP that occurs reduces the afterload and results in an (admittedly small) increase in SV.",No,"2,6",,,5,,,,
CO=SVxHR,0,"OK, with SV increased and HR unchanged CO must increase.  Remember, CO = SV x HR.",Yes,"2,4",,,2,,2,,
CO=SVxHR,0,"No, with SV increased and HR unchanged CO must increase.  Remember, CO = SV x HR.",No,"2,4",,,,,5,,
CVP=1/CO (inverse),0,"Good.  With CO increased CVP will decrease (when CO changes first, the change in CVP that results in inversely related to the change in CO).",Yes,"1,4",,1,,,2,,
CVP=1/CO (inverse),0,"No.  When CO increases there is reduction in central blood volume as the flow from the venous compartment to the arterial compartment increases.  As a consequence, the increase in CO causes a decrease in CVP.",No,"1,4",,0,,,,,
CVP=1/CO (inverse),0,"No.  When CO increases there is reduction in central blood volume as the flow from the venous compartment to the arterial compartment increases.  As a consequence, the increase in CO causes a decrease in CVP. The relationship between CO and CVP is a complicated one because everything depends on which variable changes first.  Changes in CVP (pre-load) result in corresponding changes in CO.  However, when CO changes first it causes an inverse changes in CO.",No,"1,4",,2,,,,,
Neural variables,1,"Right, the fall in MAP initiates a baroreceptor reflex which increases the neurally controlled variables, IS, HR, and Ra.",Yes,"0,3,5",2,,,2,,2,
Neural variables,1,"No, the fall in MAP initiates a baroreceptor reflex which increases ALL of the neurally controlled variables, IS, HR, and Ra.",no,"0,3,5",5,,,5,,5,
HR to CO,1,Correct.  The reflex increase in HR results in an increase in CO.,Yes,"4,5",,,,2,2,,
HR to CO,1,"No, the reflex increase in HR causes an increase in CO.",no,"4,5",,,,,5,,
CO to CVP,1,"OK, the increase in CO causes CVP to decrease as more blood is transferred from the venous compartment to the arterial compartment.",yes,"1,5",,1,,,2,,
CO to CVP,1,"No, the increase in CO causes a decrease in CVP.  When CO changes “first” it causes an opposite change in CVP.  (When CVP changes first, when preload changes, it causes the same change in CO.)",no,"1,5",,2,,,,,
CO to CVP,1,"No, one of the determinants of CVP is CO (the rate at which blood is pumped out of the venous compartment).  So when CO increases there is a decrease in CVP.",no,"1,5",,0,,,,,
CVP to SV,1,"Yes, with CVP decreased (that is to say, with preload down) there will be a decrease in SV.  Note that the reflex increase in IS that occurred keeps SV from falling proportionately as much as CVP fell.",yes,"1,2",,1,1,,,,
CVP to SV,1,No.  CVP is the preload for the ventricles.  With CVP down the filling of the ventricles will bedown and hene SV must decrease.,no,"1,2",,,2,,,,
CVP to SV,1,No.  The most important determinant of SV is the preload (CVP) and with CVP decreased there must be a decrease in SV,no,"1,2",,,0,,,,
Determinants of MAP,1,"Right, the direction of change in MAP produced by the baroreceptor will counter the initial (DR) change in MAP.  Thus, in RR, MAP is increased. One can also reason that with CO increased and Ra increased that MAP must increase.",yes,"4,5,6",,,,,2,2,2
Determinants of MAP,1,"No, the direction of change in MAP produced by the baroreceptor will counter the initial (DR) change in MAP.  Thus, in RR, MAP is increased.",no,"4,5,6",,,,,,,1
Determinants of MAP,1,"No, the direction of change in MAP produced by the baroreceptor will counter the initial (DR) change in MAP.  Thus, in RR, MAP is increased.",no,"4,5,6",,,,,,,0
MAP,2,"Right, the baroreceptor reflex does not fully compensate for the disturbance that was present.  Thus MAP is still less (decreased) from the control value.",yes,6,,,,,,,1
,2,"No, your prediction that MAP is increased would mean that the value of MAP is now greater than it was before the disturbance.",no,6,,,,,,,2
,2,"No, your prediction that MAP is unchanged would mean that the baroreceptor reflex fully compensated for the disturbance and that MAP is now the same as it was in the control state.  However, the baroreceptor reflex can only partially compensate for the disturbance and thus MAP in the new steady state is still decreased.",no,6,,,,,,,0
Neural variables,2,"Correct, the neurally controlled variables, IS and HR, are increased by the baroreceptor reflex to help restore MAP.  Ra is still decreased from the controlled value since the reflex can not fully overcome the action of the drug that was administered.",yes,"0,3,5",2,,,2,,1,
,2,"Not quite correct.  The neurally controlled variables, IS and HR, are increased by the baroreceptor reflex to help restore MAP.  However, Ra is still decreased from its controlled value since the reflex can not fully overcome the action of the drug that was administered.",no,"0,3,5",,,,,,2,
,2,"No.The neurally controlled variables, IS and HR, are increased by the baroreceptor reflex to help restore MAP.  However, Ra is still decreased from its controlled value since the reflex can not fully overcome the action of the drug that was administered.",no,"0,3,5",5,,,5,,0,
HR CO,2,"Correct, the increased HR (driven by the reflex) results in increased CO.",yes,"3,4",,,,2,2
,2,"No, the increased HR (driven by the reflex) results in increased CO.",no,"3,4",,,,,5
CO CVP,2,"Right, with CO increased there is a corresponding decrease in CVP.",yes,"1,4",,1,,,2
,2,"No, with CO increased there is a corresponding decrease in CVP.",no,"1,4",,4,,,
SV,2,"Right, SV is down because the effect of the decrease in CVP is greater than the effect of the increase in IS. Alternatively, we can argue that SV is down because the increase in DR due to the decrease in afterload is quantitatively very small while the decrease in SV in RR due to the decrease in CSP is much larger.  Thus, in this instance the SS response follows (is in the same direction) as the RR response.",yes,2,,,1,,
,2,"No, SV is down because the effect of the decrease in CVP is greater than the effect of the increase in IS. Alternatively, we can argue that SV is down because the increase in DR due to the decrease in afterload is quantitatively very small while the decrease in SV in RR due to the decrease in CSP is much larger.  Thus, in this instance the SS response follows (is in the same direction) as the RR response.",no,2,,,4,,
