Category,Column,Comment,Correct,Highlights,0,1,2,3,4,5,6
CVP to SV,0,"Right, with CVP decreased, SV will be decreased (preload is down).",Yes,"1,2",,1,1,,,,
CVP to SV,0,"No, when CVP is decreased (preload is decreased) then SV must decrease.",no,"1,2",,,2,,,,
CVP to SV,0,"No, when CVP is decreased (preload is decreased) then SV must decrease.  Preload is the most potent determinant of SV.",no,"1,2",,,0,,,,
SV to CO,0,"Good, with SV down (and HR unchanged) CO must be decreased since we know that:                                         CO =SV x HR.",Yes,"2,4",,,1,,1,,
SV to CO,0,"No, with SV down (and HR unchanged) CO must be decreased since we know that:                                         CO =SV x HR.",no,"2,4",,,,,4,,
CO to MAP,0,"Right, with CO decreased and Ra unchanged there must be a decrease in MAP since we know that                                        MAP = CO x TPR.",yes,"4,6",,,,,1,,1
CO to MAP,0,"No, with CO decreased and Ra unchanged there must be a decrease in MAP since we know that                                        MAP = CO x TPR.",no,"4,6",,,,,,,4
Neural variables,0,"Good.  IS, HR, and Ra are all determined by their neural inputs.  In the DR phase these inputs are unchanged.",yes,"1,3,5",0,,,0,,0,
Neural variables,0,"No, IS, HR, and Ra are ALL variables that are determined by their neural inputs.  Since in the DR phase these inputs are unchanged all three must be 0.",no,"1,3,5",3,,,,,,
Neural variables,0,"No, IS, HR, and Ra are ALL variables that are determined by their neural inputs.  Since in the DR phase these inputs are unchanged all three must be 0.",no,"1,3,5",,,,3,,,
Neural variables,0,"No, IS, HR, and Ra are ALL variables that are determined by their neural inputs.  Since in the DR phase these inputs are unchanged all three must be 0.",no,"1,3,5",,,,,,3,
Neural variables,1,"Correct.  Since the response of the system to the disturbance (the increase in Rv) was a fall in MAP, the response of the baroreceptor reflex will be to increase all the neural variables to restore MAP.",yes,"1,3,5",2,,,2,,2,
Neural variables,1,No Comment.,no,"1,3,5",5,,,,,,
Neural variables,1,No Comment.,no,"1,3,5",,,,5,,,
Neural variables,1,No Comment.,no,"1,3,5",,,,,,5,
HR to CO,1,"Right, the reflex increase in HR results in an increase in CO.",yes,"3,4",,,,2,2,,
HR to CO,1,"No,  the reflex increase in HR results in an increase in CO.",no,"3,4",,,,,5,,
CO to CVP,1,"Right, with CO reflexly increased there will be a decrease oin CVP as there will be a translocation of blood from the central venous compartment to the arterial compartment.",yes,"1,4",,1,,,2,,
CO to CVP,1,"No, when CO increases it causes CVP to decrease.  (Keep in mind that when CVP increases first, it causes CO to increase.)",no,"1,4",,2,,,,,
CO to CVP,1,"No.  CO and CVP are related to one another.  When CO increases, as is the case here, it causes CVP to decrease.  When CVP increases first, this change causes CO to increase.",no,"1,4",,0,,,,,
CVP to SV,1,"Right, with CVP decreased SV will decrease.  CVP, the afterload for the ventricles, is the most potent determinant of SV.",yes,"1,2",,1,1,,,,
CVP to SV,1,"No, CVP is the most potent determinant of SV.  With CVP decreased there must be a decrease in SV.",no,"1,2",,,2,,,,
CVP to SV,1,"No, changes in CVP must be reflected by changes in SV.  With CVP decreased there must be a decrease in SV.",no,"1,2",,,0,,,,
